Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
361,00:12.0,17.563784,22.49001736,11.59863281,18.60270182
362,00:12.1,18.98483615,26.82430013,11.54966905,18.58053928
363,00:12.1,17.26984773,22.63663737,11.45776367,17.71514214
364,00:12.1,17.88990162,23.46590169,11.73714193,18.46666124
365,00:12.2,17.9384856,23.54394531,11.52270508,18.74880642
366,00:12.2,15.62764034,19.36650933,10.56051975,16.95589193
367,00:12.2,15.95809823,19.98350694,10.48025174,17.41053602
368,00:12.3,16.0848886,19.47488064,11.11140951,17.66837565
369,00:12.3,15.64570674,18.95052083,10.60015191,17.38644748
370,00:12.3,14.06912797,17.01348199,9.191867405,16.00203451
371,00:12.4,14.7267343,19.02270508,8.837809245,16.31968859
372,00:12.4,13.82807979,17.1750217,8.526557075,15.78266059
373,00:12.4,14.75830078,18.40603299,8.999159071,16.86971029
374,00:12.5,14.38601345,17.47922092,9.261257595,16.41756185
375,00:12.5,14.69497794,17.76787652,9.315700955,17.00135634
376,00:12.5,14.44890227,17.13598633,9.492757161,16.71796332
377,00:12.6,15.55589916,18.8308648,9.93500434,17.90182834
378,00:12.6,14.95577438,17.85370551,9.893147786,17.12046984
379,00:12.6,14.68782552,17.94129774,9.25382487,16.86835395
380,00:12.7,13.6709979,16.57842339,8.61477322,15.81979709
381,00:12.7,14.04639576,17.31678602,8.484673394,16.33772786
382,00:12.7,13.38390661,16.22810872,8.277072483,15.64653863
383,00:12.8,12.75030744,14.87912326,8.030219184,15.34157986
384,00:12.8,13.84886791,17.07633464,8.150499132,16.31976997
385,00:12.8,11.32187681,12.61225043,7.283854167,14.06952582
386,00:12.9,11.86419452,13.3218316,7.637830946,14.63292101
387,00:12.9,12.82823351,15.25840929,7.845648872,15.38064236
388,00:12.9,11.37192564,12.54177517,7.435926649,14.13807509
389,00:13.0,11.84718605,13.43939887,7.539035373,14.56312391
390,00:13.0,68.96620009,83.77294922,66.13633898,56.98931207
391,00:13.0,22.78502966,24.38487413,21.09280056,22.87741428
392,00:13.1,23.41015625,24.65375434,22.17393663,23.40277778
393,00:13.1,24.45439091,26.41303168,22.94371202,24.00642904
394,00:13.1,24.79393627,26.6886122,23.47159831,24.22159831
395,00:13.2,24.64964012,27.07910156,23.04294162,23.82687717
396,00:13.2,23.58877677,25.98510742,21.50575087,23.27547201
397,00:13.2,22.04465965,23.99037001,19.71332465,22.43028429
398,00:13.3,20.67365632,22.35837131,18.4902615,21.17233615
399,00:13.3,20.23049588,22.29896376,17.49921332,20.89331055
400,00:13.3,20.80050094,23.81705729,17.12801107,21.45643446
401,00:13.4,21.00226056,24.13340929,17.2253418,21.6480306
402,00:13.4,20.52135778,23.88680013,16.41322157,21.26405165
403,00:13.4,20.87950304,24.97710503,16.29310438,21.3682997
404,00:13.5,20.68305122,25.01161024,16.01768663,21.01985677
405,00:13.5,20.86987305,25.41522895,15.87909614,21.31529405
406,00:13.5,20.31156865,24.60942925,15.31759983,21.00767687
407,00:13.6,20.48377821,25.59738498,14.87011719,20.98383247
408,00:13.6,19.9337113,24.13536241,14.86805556,20.79771593
409,00:13.6,20.33807147,24.77992079,15.2024197,21.03187391
410,00:13.7,20.78522859,25.41875543,15.52237956,21.41455078
411,00:13.7,21.33442745,26.5296224,15.61086697,21.86279297
412,00:13.7,20.92328559,25.83387587,15.42670356,21.50927734
413,00:13.8,21.91310402,27.54489475,15.88232422,22.3120931
414,00:13.8,21.75330946,26.91465929,15.97268338,22.37258572
415,00:13.8,21.10910373,25.93546549,15.2718099,22.12003581
416,00:13.9,21.16400825,26.44623481,15.0453559,22.00043403
417,00:13.9,19.96316189,23.76158312,14.98003472,21.14786784
418,00:13.9,21.0804579,25.87635634,15.83550347,21.52951389
419,00:14.0,22.61990922,27.6753201,17.13758681,23.04682075
420,00:14.0,23.43990524,28.83393012,17.55913628,23.92664931
421,00:14.0,23.55193866,29.58653429,17.36683485,23.70244683
422,00:14.1,24.16563585,29.6711697,17.87917752,24.94656033
423,00:14.1,24.01236075,29.97572157,17.69552951,24.36583116
424,00:14.1,23.3095884,29.36135525,16.71769206,23.84971788
425,00:14.2,22.63189019,28.70616319,16.01258681,23.17692057
426,00:14.2,21.89700883,27.58517795,15.28507487,22.82077365
427,00:14.2,21.5878002,27.69710286,14.54817708,22.51812066
428,00:14.3,21.09693287,26.72992622,14.12434896,22.43652344
429,00:14.3,21.29718244,27.10313585,13.80558268,22.98282878
430,00:14.3,21.27070674,26.9577908,13.64078776,23.21354167
431,00:14.4,21.72762948,28.0793457,13.5753852,23.52815755
